D1CNTY,INTPTLAT,INTPTLONG,CASEKEY,start_year,FILEFY,D1ZIP,DISTRICT_NS,NOB,debt_limit,result,PRFILE,D1FPRSE,JOINT,D2FPRSE,ECRDTRS,DBTRTYP,CASETYP,org_chap,crnt_chap,cl_chap,SEQ,duration,duration_day,duration_weeks,duration_months,start,close,closed,assets,real_property,personal_property,liabilities,secured,unsecured1,unsecured2,debts,discharged,not_discharged,income_average,income_current,expenses_average,zip,latitude,longitude,lat,long
10001,39.097088,-75.502982,03111121030600,2012,2012,199680000,DE,n,1500000,discharge,N,n,y,n,A,i,v,12,13,13,0,1049,1049,149.857142857143,35,2012-01-24,2014-12-08,TRUE,908040.95,669000,239040.95,1451626.74,1012466,47634.49,391526.25,1451626.74,1403992.25,47634.49,2715,1276,20330.91,19968,38.8,-75.3,38.8,-75.3
10001,39.097088,-75.502982,03111141139200,2014,2014,199340000,DE,n,1500000,discharge,N,n,n,NA,A,i,v,12,12,12,0,1920,1920,274.285714285714,63,2014-06-03,2019-09-05,TRUE,8438171.35,7594000,844171.35,1864385.26,1831996.28,2,32386.98,NA,NA,NA,5941.34,NA,5140,19934,39.1,-75.6,39.1,-75.6
10001,39.097088,-75.502982,03111201158900,2020,2020,199530000,DE,n,1500000,NA,N,n,y,n,A,i,v,12,12,NA,0,1200,1200,171.428571428571,39,2020-06-17,2023-09-30,TRUE,675163.59,587500,87663.59,1422401.65,1355400,7815.06,59186.59,1422401.65,1422401.65,0,12384.81,NA,11240.73,19953,39.15,-75.69,39.15,-75.69
10001,39.097088,-75.502982,03111191177900,2019,2019,199010000,DE,n,1500000,NA,N,n,y,n,A,i,v,12,12,NA,0,1514,1514,216.285714285714,49,2019-08-08,2023-09-30,TRUE,559492,330300,229192,621242.34,275162,0,346080.34,621242.34,621242.34,0,7085,NA,4814.91,19901,39.2,-75.5,39.2,-75.5
10003,39.575915,-75.644132,03111171149500,2017,2017,197090000,DE,n,1500000,discharge,Y,n,n,NA,A,i,v,13,12,12,0,1419,1419,202.714285714286,46,2017-07-07,2021-05-26,TRUE,373673,345848,27825,332886.21,331813.21,2,1071,NA,NA,NA,3153.97,NA,2603.85,19709,39.5,-75.7,39.5,-75.7
10003,39.575915,-75.644132,031111711495r1,2017,2021,197090000,DE,n,1500000,discharge,Y,n,n,NA,A,i,v,12,12,12,1,1544,1544,220.571428571429,50,2017-07-07,2021-09-28,TRUE,373673,345848,27825,332886.21,331813.21,2,1071,NA,NA,NA,3153.97,NA,2603.85,19709,39.5,-75.7,39.5,-75.7
10005,38.673227,-75.337024,03111052004300,2005,2006,NA,DE,z,1500000,discharge,NA,NA,n,NA,A,i,v,13,12,12,0,1019,1019,145.571428571429,34,2005-11-18,2008-09-02,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,38.673227,-75.337024
10005,38.673227,-75.337024,03111071164700,2007,2008,199560000,DE,n,1500000,dismiss,N,y,n,NA,A,u,v,12,12,12,0,477,477,68.1428571428571,15,2007-11-05,2009-02-24,TRUE,500000,500000,0,505848.83,500000,5848.83,0,0,0,0,0,0,0,19956,38.5,-75.6,38.5,-75.6
10005,38.673227,-75.337024,03111081293600,2008,2009,199470000,DE,n,1500000,dismiss,N,n,y,n,A,i,v,12,12,12,0,91,91,13,3,2008-11-14,2009-02-13,TRUE,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,19947,38.7,-75.4,38.7,-75.4
10005,38.673227,-75.337024,03111091217100,2009,2009,199730000,DE,n,1500000,dismiss,N,n,y,n,A,i,v,12,12,12,0,113,113,16.1428571428571,4,2009-06-24,2009-10-15,TRUE,14210088.33,9450000,4760088.33,5459377.33,5194258,0,265119.33,5459377.33,5459377.33,0,1880.53,0,38179.98,19973,38.6,-75.6,38.6,-75.6
10005,38.673227,-75.337024,03111081336900,2008,2009,199470000,DE,n,1500000,dismiss,Y,y,n,NA,A,u,v,12,12,12,0,803,803,114.714285714286,26,2008-12-17,2011-02-28,TRUE,538000,500000,38000,250000,250000,0,0,NA,NA,NA,4210,NA,3910,19947,38.7,-75.4,38.7,-75.4
10005,38.673227,-75.337024,03111101181200,2010,2010,199730000,DE,n,1500000,discharge,N,n,y,n,A,u,v,12,12,12,0,363,363,51.8571428571429,12,2010-06-04,2011-06-02,TRUE,14209338.33,9450000,4759338.33,3525342.42,3250823.09,0,274519.33,3525342.42,3525342.42,0,1880.53,NA,38179.98,19973,38.6,-75.6,38.6,-75.6
10005,38.673227,-75.337024,03111111075200,2011,2011,199660000,DE,n,1500000,dismiss,N,n,y,n,A,n,v,12,12,12,0,32,32,4.57142857142857,1,2011-03-13,2011-04-14,TRUE,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,19966,38.6,-75.3,38.6,-75.3
10005,38.673227,-75.337024,031111011812r1,2010,2011,199730000,DE,n,1500000,discharge,N,n,y,n,A,u,v,12,13,13,1,601,601,85.8571428571429,19,2010-06-04,2012-01-26,TRUE,14209338.33,9450000,4759338.33,3525342.42,3250823.09,0,274519.33,3525342.42,3525342.42,0,1880.53,NA,38179.98,19973,38.6,-75.6,38.6,-75.6
10005,38.673227,-75.337024,03111111363700,2011,2012,199660000,DE,n,1500000,discharge,Y,n,y,n,A,i,v,12,13,13,0,625,625,89.2857142857143,20,2011-11-14,2013-07-31,TRUE,792358.38,752076,40282.38,836491.45,786356.98,0,50134.47,836491.45,836491.45,0,13408.87,5145.54,13378.3,19966,38.6,-75.3,38.6,-75.3
